,0
0,f_W-.5_C-.9_R-0_T-1_S-.9.jpg
1,f_W-.8_C-.4_R-.1_T-0_S-.8.jpg
2,f_W-.1_C-.1_R-.2_T-1_S-.9.jpg
3,f_W-0_C-.2_R-0_T-1_S-1.jpg
4,f_W-.5_C-.1_R-.1_T-1_S-.9.jpg
5,f_W-0_C-.5_R-.6_T-1_S-.7.jpg
6,f_W-.5_C-.1_R-.6_T-1_S-1.jpg
7,f_W-.2_C-1_R-.4_T-.1_S-.7.jpg
8,f_W-.4_C-.4_R-.8_T-.7_S-0.jpg
9,f_W-0_C-.2_R-.1_T-.9_S-1.jpg
10,f_W-.7_C-.9_R-.9_T-0_S-.4.jpg
11,f_W-.1_C-.6_R-.1_T-.2_S-.7.jpg
12,f_W-.4_C-.6_R-0_T-.9_S-0.jpg
13,f_W-.7_C-.9_R-.8_T-0_S-.5.jpg
14,f_W-0_C-.5_R-.5_T-1_S-.8.jpg
15,f_W-0_C-0_R-.6_T-.3_S-.8.jpg
16,f_W-.1_C-0_R-.6_T-.9_S-.8.jpg
17,f_W-.3_C-.7_R-.2_T-.8_S-.9.jpg
18,f_W-.2_C-0_R-.9_T-.3_S-.6.jpg
19,f_W-.2_C-.9_R-.7_T-.9_S-.3.jpg
20,f_W-.3_C-.5_R-.2_T-.6_S-.9.jpg
21,f_W-1_C-.5_R-.3_T-1_S-.9.jpg
22,f_W-.3_C-.4_R-.2_T-.5_S-.9.jpg
23,f_W-.5_C-.4_R-1_T-.7_S-0.jpg
24,f_W-.5_C-0_R-.1_T-1_S-.8.jpg
25,f_W-.9_C-.4_R-0_T-.9_S-1.jpg
26,f_W-.3_C-.7_R-.2_T-.9_S-1.jpg
27,f_W-.3_C-.5_R-.2_T-.4_S-.8.jpg
28,f_W-.3_C-.9_R-.1_T-1_S-.9.jpg
29,f_W-.3_C-.6_R-.9_T-.9_S-.9.jpg
30,f_W-.8_C-.4_R-0_T-0_S-.8.jpg
31,f_W-.5_C-0_R-.1_T-1_S-.9.jpg
32,f_W-.3_C-0_R-.3_T-.8_S-1.jpg
33,f_W-.1_C-.1_R-.2_T-1_S-.8.jpg
34,f_W-.5_C-.9_R-0_T-1_S-1.jpg
35,f_W-.3_C-.9_R-.1_T-1_S-1.jpg
36,f_W-.4_C-.9_R-0_T-.2_S-1.jpg
37,f_W-.2_C-.9_R-.6_T-.9_S-.3.jpg
38,f_W-.7_C-.9_R-.7_T-0_S-.4.jpg
39,f_W-.3_C-1_R-.4_T-.1_S-.7.jpg
40,f_W-.3_C-.3_R-.1_T-.5_S-.9.jpg
41,f_W-.3_C-.6_R-.9_T-.9_S-0.jpg
42,f_W-.2_C-0_R-.3_T-1_S-1.jpg
43,f_W-.4_C-.9_R-.2_T-.8_S-.8.jpg
44,f_W-0_C-.6_R-.1_T-1_S-1.jpg
45,f_W-.7_C-.4_R-1_T-0_S-.8.jpg
46,f_W-.2_C-0_R-.2_T-1_S-.8.jpg
47,f_W-.4_C-.4_R-.7_T-1_S-0.jpg
48,f_W-.4_C-.8_R-1_T-0_S-0.jpg
49,f_W-.6_C-1_R-.2_T-0_S-.7.jpg
50,f_W-.4_C-0_R-.1_T-1_S-.8.jpg
51,f_W-.2_C-.3_R-1_T-1_S-.5.jpg
52,f_W-.6_C-1_R-.3_T-0_S-.8.jpg
53,f_W-.1_C-.6_R-.2_T-.2_S-.7.jpg
54,f_W-.2_C-.3_R-1_T-1_S-.4.jpg
55,f_W-.1_C-.6_R-.1_T-.2_S-.6.jpg
56,f_W-.4_C-0_R-.4_T-.8_S-1.jpg
57,f_W-.4_C-.5_R-.8_T-1_S-.5.jpg
58,f_W-.2_C-.7_R-.1_T-.9_S-1.jpg
59,f_W-.4_C-.4_R-.8_T-1_S-.5.jpg
60,f_W-.7_C-.4_R-1_T-0_S-.7.jpg
61,f_W-0_C-.1_R-.6_T-.4_S-.8.jpg
62,f_W-.4_C-.4_R-.8_T-1_S-0.jpg
63,f_W-.1_C-0_R-.5_T-.9_S-.8.jpg
64,f_W-.8_C-.4_R-.1_T-0_S-.7.jpg
65,f_W-.2_C-0_R-.9_T-.4_S-.5.jpg
66,f_W-.4_C-.8_R-1_T-0_S-.1.jpg
67,f_W-.4_C-.8_R-1_T-0_S-.2.jpg
68,f_W-.5_C-.9_R-0_T-.9_S-1.jpg
69,f_W-.3_C-0_R-.4_T-.8_S-.9.jpg
70,f_W-.4_C-.9_R-.2_T-.7_S-1.jpg
71,f_W-.1_C-.1_R-.1_T-1_S-.9.jpg
72,f_W-.3_C-.3_R-.1_T-.5_S-.8.jpg
73,f_W-.4_C-1_R-.7_T-0_S-.7.jpg
74,f_W-.9_C-.4_R-0_T-1_S-1.jpg
75,f_W-.4_C-.9_R-0_T-.3_S-1.jpg
76,f_W-.4_C-.4_R-1_T-.7_S-0.jpg
77,f_W-1_C-.5_R-.3_T-1_S-1.jpg
78,f_W-0_C-.6_R-.2_T-1_S-.9.jpg
79,f_W-0_C-.5_R-.6_T-1_S-.8.jpg
80,f_W-.3_C-.3_R-1_T-1_S-.5.jpg
